#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
78,Disability amount ,Montant pour personnes handicapées,2012, 45400,342354,43470,327127,88870,669519,920,7996,540,4579,1460,12583,1580,11687,1070,7938,2650,19626,1440,10751,1020,7590,2460,18341,1550,11638,1170,8759,2720,20397,1510,11352,1220,9117,2730,20469,1740,13066,1540,11579,3280,24652,2610,19590,2460,18487,5060,38077,3690,27798,3450,25984,7150,53782,4620,34819,4300,32317,8920,67144,5490,41230,4750,35778,10240,77016,4880,36757,4020,30255,8900,67013,4150,31274,3240,24385,7390,55660,11220,84395,14690,110358,25910,194760
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 21410,218542,18010,173657,39420,392199,,,,,,,,,,,,,360,4100,510,5588,870,9689,1560,18589,1710,19266,3270,37855,3010,36221,2850,32871,5860,69093,3610,43059,2960,32683,6570,75742,3640,39139,2730,27089,6370,66228,3110,29550,2170,18474,5280,48024,2150,17887,1570,11895,3720,29782,1520,11767,1190,8691,2710,20458,1010,7530,820,5873,1830,13403,600,4493,520,3678,1120,8171,800,5829,920,6667,1710,12495
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 58100,22364,81020,29147,139120,51511,,,80,12,190,20,3930,988,6310,1644,10240,2632,13090,4803,22020,7968,35110,12771,16840,6145,23850,8188,40690,14334,11800,4625,14580,5494,26380,10118,6390,2826,7030,2933,13420,5759,3240,1609,3670,1439,6920,3048,1550,764,2000,803,3550,1566,750,340,990,419,1740,758,290,159,360,181,650,340,90,73,100,51,190,124,20,10,20,10,40,20,,,10,6,20,22
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 181330,692005,238590,821721,419960,1514030,12330,32512,11490,28255,23820,60767,59390,235839,75160,303577,134560,539528,39060,195444,51270,231487,90350,427044,23980,101602,30500,103457,54480,205107,15530,53328,20320,57394,35850,110737,10640,32158,15110,38459,25750,70617,7710,19508,12760,28106,20480,47618,5240,11419,9090,17321,14330,28740,3380,6103,5500,8378,8880,14481,2060,2619,3480,3264,5540,5893,1120,924,2130,1300,3250,2224,510,334,1030,489,1540,823,400,217,750,235,1150,452
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 111230,522681,80660,354248,191890,876929,20,56,50,111,70,167,50,134,50,171,100,305,50,87,40,149,90,237,210,515,170,315,380,830,1160,3511,1900,5608,3060,9119,7980,28974,10720,39937,18700,68910,30770,138528,27160,119389,57930,257917,39990,199915,25750,120991,65750,320906,21380,105985,11310,52477,32690,158462,7170,33908,2850,12505,10020,46412,1810,8331,460,1873,2270,10204,430,1800,100,353,530,2152,220,937,90,370,310,1307
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 180430,913449,112120,494158,292740,1408309,70,183,190,434,260,621,2250,7110,2180,6485,4450,13643,6550,22430,6220,22190,12810,44812,9250,33275,10180,40623,19480,74104,9190,34126,9930,43316,19140,77530,7880,29085,7730,32231,15620,61344,6010,22745,5440,21553,11470,44353,4740,18666,5060,22205,9800,40878,6240,24228,8000,38338,14250,62569,11750,48410,17180,82526,28940,130938,26040,135619,14230,66164,40270,201809,30250,173785,10890,49901,41140,223715,60210,363787,14900,68193,75110,431993
84,Medical expenses,Montant admissible des frais médicaux,2012, 755990,1584298,1094130,2169419,1850240,3753972,4860,2989,7290,4554,12160,7548,21470,15808,38930,30729,60430,46552,33220,32857,63010,69517,96260,102397,43600,56002,78720,109312,122340,165339,47880,72028,80140,128926,128040,200962,51880,119752,81680,145475,133560,265235,64820,117243,100770,183186,165600,300436,73990,137467,113950,210435,187940,347902,78010,154914,112620,221664,190640,376579,79380,169184,103640,214230,183030,383425,80980,180796,88360,189467,169340,370263,63700,150919,66560,144484,130260,295408,112180,374340,158470,517440,270660,891926
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 3102270,8127915,3287000,8325682,6392280,16458309,141870,263058,141050,261412,283220,524822,238780,513443,239020,529728,478940,1044825,232340,553894,237110,574680,470100,1129648,260210,665195,266080,673924,526650,1339700,252720,687464,255450,684612,508360,1372393,248340,691406,246810,666032,495270,1357636,286160,766374,286650,732182,572880,1498686,310410,793456,314340,746675,624790,1540207,289450,707350,294650,664144,584120,1371553,249320,583763,258190,554963,507530,1138775,209270,651369,221690,658878,430980,1310294,147490,468341,164510,486208,312020,954619,235910,782802,361480,1092244,597420,1875151
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 704150,626823,598450,333286,1302610,960121,3580,216,3760,224,7340,440,19810,2502,22360,2389,42170,4892,32430,8327,33630,7403,66060,15732,46410,16813,40700,11414,87120,28227,53720,26584,44080,15441,97800,42026,58210,47061,47570,20166,105780,67228,73020,59682,58940,26907,131960,86589,86210,72069,69320,31478,155520,103547,84540,63900,66430,34016,150960,97918,76090,71216,58330,30594,134410,101810,59630,56201,43470,26972,103100,83173,42560,45837,33320,24360,75890,70201,67940,156416,76560,101921,144500,258340
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 1260,27695,1060,7670,2320,35365,,,,,10,2,40,9,50,3,90,12,70,12,70,10,150,22,90,29,50,18,140,47,100,52,80,33,180,84,,,,,,,,,70,84,,,110,561,100,270,210,831,110,1470,90,417,200,1887,120,842,100,422,210,1264,110,1039,80,368,190,1406,,,80,296,180,2188,,,,,,
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 694890,162985,588630,88485,1283530,251473,2970,45,3030,49,6000,94,18010,564,20120,519,38130,1084,31050,2019,32000,1754,63050,3773,45160,4217,39480,2754,84640,6971,52810,6864,43260,3819,96070,10684,57520,14897,46930,5110,104440,20008,72350,16541,58360,6837,130710,23378,85540,19471,68760,8026,154300,27498,83990,17375,65910,8832,149900,26208,75710,19439,57910,7928,133610,27367,59430,15392,43240,7081,102670,22473,42480,12931,33190,6464,75670,19397,67880,33229,76460,29310,144340,62540
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 3102270,8290900,3287000,8414167,6392280,16709783,141870,263103,141050,261462,283220,524916,238780,514007,239020,530247,478940,1045908,232340,555914,237110,576433,470100,1133421,260210,669412,266080,676678,526650,1346671,252720,694328,255450,688432,508360,1383077,248340,706303,246810,671143,495270,1377644,286160,782915,286650,739019,572880,1522065,310410,812927,314340,754701,624790,1567705,289450,724725,294650,672976,584120,1397761,249320,603202,258190,562891,507530,1166141,209270,666761,221690,665958,430980,1332767,147490,481272,164510,492672,312020,974016,235910,816031,361480,1121554,597420,1937691
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 389390,1027143,316760,415140,706150,1442303,1910,3955,1720,3934,3630,7888,7380,10312,6010,9629,13390,19941,12690,12507,9360,7020,22050,19534,20380,30056,14180,14626,34560,44682,25850,57534,17770,24791,43620,82325,29970,85037,21960,39410,51930,124451,40210,125526,31150,47488,71370,173014,50050,150823,40660,54002,90700,204834,51330,132233,41030,44941,92360,177174,47420,120870,37750,40134,85170,161004,38380,118502,30320,33719,68700,152221,25970,73883,22270,27811,48240,101694,37850,105904,42580,67636,80430,173540
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 1860,17710,170,1152,2030,18862,,,,,,,,,,,,,170,932,30,111,200,1043,220,1618,40,211,260,1830,220,1898,20,128,240,2027,180,1669,20,203,200,1872,240,2582,30,193,270,2775,300,3399,20,125,320,3524,280,3179,,,290,3274,140,1542,,,140,1598,70,635,,,70,657,20,169,,,20,169,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 5810,17520,2730,6447,8540,23967,40,67,30,77,70,145,80,138,90,142,170,280,90,294,90,294,180,588,170,487,120,356,290,842,300,934,140,421,440,1355,430,1268,220,525,650,1794,650,1966,330,759,980,2725,860,2666,400,889,1260,3555,930,3150,390,852,1320,4002,960,2642,370,887,1330,3529,670,1787,240,475,910,2261,340,928,140,342,470,1271,300,1192,170,428,470,1620
93,Basic federal tax ,Impôt fédéral de base,2012, 2108980,15270359,1861430,8277115,3970480,23547847,20850,24114,10220,8438,31070,32553,115790,290684,80980,132891,196780,423580,167690,719422,145880,467137,313590,1186601,205320,1194038,175060,716387,380390,1910453,200490,1490157,169080,830589,369570,2320751,195050,1692737,168880,934898,363940,2627645,227490,2118442,206620,1152981,434110,3271611,248930,2393920,229990,1225144,478920,3619097,228980,2028617,210020,1013144,439010,3041783,193000,1424129,170990,714160,364000,2138310,126680,818886,106450,365534,233130,1184419,75570,469232,69300,244149,144880,713383,103140,605983,117960,471665,221100,1077660
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 111740,78976,94540,22853,206290,101865,170,116,120,20,300,137,1100,234,630,147,1740,381,3120,1595,2120,753,5240,2348,5120,4128,3530,1389,8640,5517,6590,5580,4490,1263,11090,6843,7730,8058,5670,1795,13390,9853,10500,9575,8190,3010,18690,12585,13640,11916,11070,2443,24700,14368,15100,13084,12100,2587,27200,15677,14270,8952,12340,2276,26610,11247,12200,6172,10410,2067,22610,8239,8730,3594,8090,1488,16820,5083,13490,5971,15770,3615,29260,9586
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 11270,1630,5020,587,16290,2217,,,,,,,,,,,,,250,32,140,15,390,47,460,66,180,25,640,91,510,73,200,25,710,98,550,101,220,32,770,134,800,135,280,35,1070,170,970,158,410,60,1380,219,1270,197,540,70,1810,267,1440,207,660,77,2090,284,1590,219,690,79,2290,298,1270,170,560,56,1830,226,2080,263,1120,106,3190,369
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 6180,16722,2360,3917,8540,20639,,,,,,,20,14,,,,,60,70,30,40,90,110,140,177,50,48,190,225,310,569,120,139,430,707,500,1120,170,315,670,1435,730,1646,310,672,1030,2318,1010,2554,380,766,1390,3320,1070,2792,340,450,1400,3242,880,2149,260,307,1140,2456,610,2188,220,380,830,2568,390,1516,180,269,570,1785,470,1927,310,530,780,2457
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 179320,83839,137290,53017,316610,136857,160,34,40,6,200,40,3250,1131,1610,431,4860,1562,8620,3271,6110,1794,14730,5065,14620,5470,10910,3051,25530,8521,17370,6752,12720,3791,30090,10543,18030,7525,14250,4712,32280,12238,25280,11498,20500,7664,45780,19162,36780,18376,29990,12531,66770,30907,36500,19471,28660,13142,65160,32613,18480,10235,12380,5861,30860,16096,220,72,120,32,340,104,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 4640,23421,1950,10218,6600,33638,40,428,50,556,90,983,50,529,50,470,90,999,110,671,50,400,160,1070,210,794,90,564,300,1358,330,1360,140,645,470,2005,470,1925,210,992,680,2917,600,2804,280,918,880,3722,770,3656,320,1359,1100,5014,740,3144,290,1559,1030,4703,620,3155,220,966,840,4121,350,2742,120,748,470,3489,170,1116,60,342,230,1458,180,1099,90,700,270,1799
99,Net federal tax,Impôt fédéral net,2012, 2102770,15089182,1852830,8196793,3955670,23286311,20760,23964,10150,8411,30910,32377,115500,289289,80580,132309,196080,421604,167420,714459,145560,464537,313000,1179037,205070,1184205,174720,711878,379790,1896111,200230,1477195,168680,825376,368920,2302575,194720,1675932,168420,928050,363150,2603992,227070,2095582,206040,1141612,433110,3237382,248330,2360908,229130,1209356,477470,3570289,228190,1993092,208800,996891,437000,2990001,192240,1402575,169740,705639,361980,2108215,125950,810243,105490,362976,231430,1173220,74990,463937,68520,242350,143520,706289,102300,597801,117010,467407,219320,1065220
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 78550,180296,25430,72431,103980,252727,20,17,,,20,17,1470,1306,20,16,1490,1322,3980,3336,120,98,4100,3434,5230,4423,340,275,5570,4698,4910,4373,540,441,5450,4814,4680,4304,640,563,5330,4867,5970,5872,700,667,6670,6538,6290,6680,610,634,6900,7314,5520,7011,540,566,6060,7578,3770,5890,440,616,4210,6506,16030,56411,6190,17632,22210,74043,8750,34825,4890,15495,13650,50321,11940,45847,10400,35429,22340,81276
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 2280,55650,640,10781,2920,66431,,,,,,,,,,,,,40,62,20,48,50,109,80,657,60,405,140,1062,230,3890,100,1255,330,5145,290,7967,100,1997,390,9964,300,9374,110,3092,410,12467,340,12216,100,2179,440,14394,310,11198,60,1124,370,12322,260,5619,40,440,300,6059,210,3095,20,164,230,3259,120,900,,,130,942,100,656,20,35,120,691
103,Total tax payable,Total à payer,2012, 2103330,15325207,1853330,8280144,3956730,23605688,20760,23982,10150,8412,30910,32395,115510,290612,80590,132328,196100,422945,167430,717861,145590,464693,313040,1182595,205090,1189294,174760,712579,379850,1901901,200260,1485468,168730,827093,368990,2312565,194750,1688211,168440,930626,363190,2618847,227090,2110839,206070,1145389,433170,3256416,248350,2379816,229150,1212189,477510,3592030,228210,2011315,208820,998602,437040,3009934,192260,1414091,169750,706702,362010,2120794,126050,869752,105530,380773,231580,1250525,75070,499663,68570,257887,143640,757553,102510,644304,117190,502871,219700,1147187
