#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 550,6119,60,442,600,6561,,,,,,,,,,,,,50,427,10,64,60,491,110,1205,,,110,1264,80,977,,,90,1025,90,1131,,,100,1186,60,704,,,60,725,70,759,,,80,784,40,451,,,50,534,40,385,,,40,458,,,,,,,,,,,,,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 280,804,90,214,370,1018,,,,,,,,,,,,,,,,,,,30,67,,,40,76,20,42,,,20,51,20,65,,,30,78,40,125,10,18,50,143,40,101,10,39,50,140,40,131,20,43,50,174,40,132,20,42,60,175,20,50,,,30,63,10,40,,,10,46,10,32,,,20,44
93,Basic federal tax ,Impôt fédéral de base,2012, 142860,1186065,118260,516926,261110,1703051,1300,1623,630,537,1930,2159,8230,29664,4770,9347,13000,39011,10740,68505,8790,34257,19520,102762,11910,99056,9680,45921,21590,144977,13280,125585,10780,53899,24060,179484,15270,153237,12960,68277,28230,221514,16630,163805,15010,77400,31640,241234,17190,170231,15220,73644,32420,243904,16460,154019,14690,64291,31160,218310,15020,118138,12000,47086,27020,165224,8590,53588,6170,18908,14760,72496,4010,21938,3240,10677,7250,32617,4230,26678,4310,12681,8540,39359
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 4070,11532,2800,646,6870,12178,,,,,10,6,80,183,30,13,110,195,170,453,60,24,220,477,250,1600,90,58,340,1658,320,2162,,,440,2229,380,2478,170,39,550,2517,400,998,270,48,660,1046,490,1529,360,70,840,1599,510,1480,440,59,950,1539,530,308,460,74,990,381,450,215,320,59,770,274,,,200,70,420,132,290,65,280,60,570,125
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 570,113,360,61,930,174,,,,,,,,,,,,,,,,,,,20,4,20,3,40,7,30,6,20,4,50,10,30,8,20,4,50,12,50,9,30,6,80,14,50,13,40,7,90,19,80,19,50,9,130,29,90,17,60,10,140,27,100,14,50,8,150,22,50,10,30,5,80,14,70,11,40,6,100,16
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 730,849,90,82,820,931,,,,,,,,,,,,,,,,,,,,,,,,,30,16,,,30,29,60,46,,,70,48,120,122,10,11,130,133,140,245,10,14,160,258,160,157,20,11,170,168,120,132,20,16,130,148,50,60,,,60,64,10,11,,,10,11,20,26,,,20,35
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 20,9,,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 330,1086,80,501,410,1587,,,,,,,,,,,,,20,43,,,30,84,60,130,,,60,152,30,54,,,30,78,30,54,,,40,88,30,84,,,40,127,50,140,10,24,60,165,50,262,10,135,60,396,40,172,10,76,60,248,10,62,,,20,71,,,,,,,,,,,10,73
99,Net federal tax,Impôt fédéral net,2012, 142650,1173568,118120,516155,260770,1689783,1300,1621,630,531,1920,2153,8220,29478,4740,9335,12960,38813,10720,68039,8780,34232,19500,102271,11890,97428,9670,45860,21560,143288,13260,123402,10760,53817,24020,177219,15240,150704,12950,68232,28190,218935,16610,162676,14990,77338,31600,240043,17170,168443,15220,73562,32390,242034,16430,152363,14680,64212,31120,216575,15000,117681,11990,46991,26990,164672,8580,53300,6170,18837,14750,72137,4010,21856,3240,10602,7240,32460,4230,26577,4310,12606,8530,39183
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 10530,20072,6830,8834,17360,28906,110,66,40,14,150,80,410,581,230,200,640,781,530,884,490,589,1020,1473,750,1465,720,956,1470,2421,920,1872,840,1137,1760,3009,1250,2798,930,1276,2190,4074,1480,3120,940,1291,2410,4410,1510,3018,970,1265,2480,4282,1560,2876,860,1109,2420,3985,1450,2573,630,825,2070,3399,520,775,160,153,690,928,50,44,20,19,70,64,,,,,,
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 12570,24880,1590,3517,14160,28396,,,,,,,,,20,27,,,1000,1459,90,84,1090,1543,1000,1489,90,94,1090,1583,1060,1668,90,129,1150,1797,1310,2178,100,134,1410,2311,1400,2278,90,117,1490,2395,1460,2422,90,136,1550,2558,1370,2407,110,168,1480,2574,1330,2660,100,164,1430,2824,1420,4885,350,941,1760,5826,410,1490,180,575,590,2064,330,1209,280,951,610,2159
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 148560,725151,129120,343232,277690,1068418,920,1053,380,364,1300,1417,8150,19952,5110,7286,13270,27238,10760,43820,9290,23527,20050,67348,11910,61552,10230,30211,22140,91762,13310,77261,11390,35241,24700,112501,15360,93198,13640,44681,29000,137879,16790,99435,15680,50601,32470,150052,17320,101423,15870,47574,33190,149013,16730,91460,15540,41591,32260,133051,15350,70936,13110,30740,28460,101676,10200,34770,7970,14263,18170,49034,5410,14259,4490,7759,9900,22021,6340,16032,6440,9393,12780,25426
103,Total tax payable,Total à payer,2012, 152640,1943678,133160,871761,285810,2815534,1410,2748,710,909,2110,3658,8860,50738,5790,16849,14650,67587,11160,114203,9710,58438,20870,172641,12240,161936,10610,77130,22850,239066,13630,204206,11830,90327,25460,294533,15650,248878,14010,114324,29670,363202,17120,267509,16040,129347,33160,396902,17650,275307,16270,122537,33920,397887,17150,249106,15900,107080,33050,356186,15760,193850,13370,78720,29130,272571,10250,93731,7990,34194,18240,127925,5420,37649,4500,18955,9920,56609,6350,43818,6440,22950,12790,66768
