#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 37470,188155,21800,103248,59270,291406,,,,,10,45,,,40,138,50,213,50,76,,,80,182,180,168,130,174,310,343,590,1267,560,1501,1150,2768,2240,8082,2560,10242,4790,18323,8360,39642,6130,28914,14490,68557,12960,69537,7230,36788,20190,106325,8900,48166,3770,19045,12670,67214,3080,15712,1030,4932,4110,20644,810,3935,180,779,990,4713,190,931,60,271,250,1202,110,544,70,332,180,875
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 60920,303174,39650,194445,100630,497873,30,78,80,187,120,267,1050,3877,880,2908,1940,6806,3190,12302,2430,9371,5640,21709,4220,16789,3410,15380,7660,32249,4180,17102,3210,15611,7410,32762,3650,15175,2920,14001,6570,29187,2770,11861,2070,9004,4840,20874,2310,10489,1900,9193,4220,19681,2460,11218,2730,14203,5180,25421,3630,16501,5420,28699,9050,45207,6690,34662,5170,26870,11860,61549,8130,44854,3910,20289,12030,65157,18610,108265,5500,28731,24120,137003
84,Medical expenses,Montant admissible des frais médicaux,2012, 125780,347351,194780,480568,320580,827948,730,781,1040,928,1770,1710,3170,3730,5720,6150,8890,9881,4840,7485,9610,12366,14450,19852,6400,11651,12290,19306,18690,30962,7830,17419,14010,25554,21840,42982,9490,23126,15910,32962,25400,56092,11120,28286,17710,37712,28830,65998,12420,33265,20060,42777,32480,76042,13700,36819,20310,46736,34010,83556,14250,40034,20120,50604,34370,90640,12630,34428,16630,40066,29260,74498,10050,28394,12860,32606,22910,60999,19170,81933,28520,132801,47690,214736
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 1437980,3810614,1440950,3575905,2879950,7388186,68200,130230,64410,122243,132680,252559,131230,308979,127430,300887,258890,610205,151060,384121,147040,362509,298270,746901,146430,395462,144980,355725,291580,751480,133870,383112,129950,330445,263980,713831,128970,371150,124900,320957,253950,692237,129080,356116,126430,312673,255550,668865,135190,351352,132810,309803,268030,661188,120770,300090,116380,261348,237170,561461,91980,219287,90750,199433,182750,418746,69300,201840,70940,206314,140260,408208,48080,143976,51510,150349,99590,294344,83810,264898,113430,343218,197250,608160
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 368090,985243,286620,468228,654720,1453484,1770,1074,1530,812,3300,1886,11550,9310,11170,6785,22720,16096,24730,28918,23150,16949,47890,45867,32270,48967,24650,21132,56920,70099,35690,64190,23930,24483,59620,88675,37390,76380,25840,31563,63220,107944,39070,95367,29220,42776,68300,138143,43680,128610,33360,57509,77040,186119,41290,139692,30950,58089,72240,197781,32240,113691,24010,52880,56250,166572,23520,91603,17000,42145,40520,133748,16280,57965,12440,28983,28730,86948,28600,129477,29380,84122,57980,213607
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 420,6044,360,944,790,6989,,,,,,,10,1,20,4,30,6,20,18,30,9,50,27,50,17,40,19,80,36,,,30,21,60,116,,,30,52,,,,,40,38,70,90,,,,,90,243,,,,,,,,,30,14,,,30,685,20,166,50,851,30,377,,,50,573,,,40,125,90,765
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 366830,279192,285460,129885,652300,409080,1720,281,1490,211,3210,492,11410,2494,11010,1781,22420,4275,24570,7906,22940,4496,47510,12403,32140,13534,24520,5650,56660,19184,35550,17886,23820,6622,59370,24508,37250,21426,25740,8623,62990,30049,38980,26791,29140,11785,68110,38576,43580,36346,33280,15946,76850,52291,41210,39670,30880,16217,72090,55887,32170,33141,23960,14785,56130,47925,23480,26209,16970,11869,40450,38078,16250,16522,12420,8146,28670,24667,28530,36987,29310,23755,57840,60744
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 1437980,4089806,1440960,3705790,2879950,7797266,68200,130511,64410,122454,132680,253051,131230,311473,127430,302669,258890,614480,151060,392027,147040,367006,298270,759304,146430,408996,144980,361375,291580,770664,133870,400998,129950,337066,263980,738340,128970,392577,124900,329580,253950,722286,129080,382907,126430,324458,255550,707441,135190,387698,132810,325748,268030,713480,120770,339760,116380,277565,237170,617348,91980,252428,90750,214218,182750,466672,69300,228049,70940,218184,140260,446286,48080,160498,51510,158495,99590,319011,83810,301885,113430,366973,197250,668904
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 292250,1227569,232870,621442,525140,1849296,1570,2853,1350,2974,2920,5828,7510,10299,5630,8448,13140,18747,15800,31378,11090,16326,26900,47707,21500,69650,14710,38572,36220,108270,24190,102838,16280,55839,40470,158684,26320,124794,18820,70025,45130,194836,29710,148603,23160,73724,52870,222327,37130,176429,29690,86557,66820,262986,37840,183624,29770,83969,67610,267593,30550,144608,25210,65943,55770,210552,22500,97904,18790,41765,41290,139669,14470,52560,13170,23890,27650,76450,23170,82028,25190,53411,48370,135648
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 1400,17414,60,525,1460,17939,,,,,,,,,,,,,140,1478,,,150,1530,200,2417,,,210,2515,220,2591,,,220,2640,190,2389,,,200,2456,180,2323,,,180,2373,210,2803,,,210,2894,170,2206,,,170,2254,70,827,,,70,874,20,249,,,20,260,,,,,,,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 5240,15276,3270,7448,8520,22724,20,70,20,48,50,118,40,103,40,51,80,155,100,236,50,128,140,365,210,327,80,142,280,469,350,842,200,307,550,1150,460,1052,250,580,710,1632,530,1507,360,760,890,2268,730,2547,500,1260,1230,3806,830,2576,500,1152,1330,3728,700,2084,470,1136,1160,3221,550,1564,320,746,870,2310,340,1123,180,452,520,1576,390,1244,310,685,710,1929
93,Basic federal tax ,Impôt fédéral de base,2012, 1110930,15271139,894300,5815975,2005300,21087659,20860,44153,11500,13341,32360,57496,84280,450307,56100,156805,140390,607120,123280,1107126,94170,468373,217460,1575530,126340,1436882,94430,554796,220780,1991701,116190,1631443,85690,581835,201890,2213351,111320,1829281,87780,679234,199110,2508567,110980,1989521,94320,758115,205310,2747647,116440,2275575,101300,842693,217740,3118283,102430,2041017,87300,700952,189740,2742052,75360,1210540,64850,437333,140210,1647881,49410,613517,41750,230082,91160,843621,30160,276350,27210,142149,57370,418503,43880,365429,47920,250268,91800,615907
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 79040,126050,63240,20312,142290,146400,200,100,120,15,320,115,1600,1102,740,218,2340,1319,3860,4662,2190,1033,6050,5695,4780,8939,2760,1248,7540,10188,5160,10148,2960,1260,8120,11412,6090,16140,3890,1585,9980,17732,7570,14403,5560,2705,13120,17111,9900,22928,7860,2523,17760,25454,10870,24295,8820,2959,19690,27257,9370,12117,8350,2111,17720,14229,7100,6009,6530,1308,13630,7319,4740,2153,4770,1236,9510,3389,7810,3054,8710,2110,16520,5182
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 13190,2340,7120,1103,20310,3443,,,,,,,,,20,2,,,210,30,80,11,280,41,350,53,150,17,490,70,390,62,160,25,560,87,600,105,240,42,840,147,840,145,330,45,1170,190,1210,214,600,87,1810,301,1540,293,780,134,2320,427,1630,303,870,135,2490,438,1650,300,890,138,2540,438,1420,247,810,129,2220,377,3300,582,2200,338,5500,920
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 3070,6684,1330,1695,4390,8380,,,,,,,,,,,,,70,100,30,11,100,111,90,133,40,27,130,160,160,253,60,56,220,309,240,567,100,222,340,789,370,833,130,160,500,993,540,1087,210,264,750,1352,550,1270,220,376,780,1646,410,1129,170,188,580,1317,280,676,100,96,380,772,150,221,90,98,240,320,180,403,130,184,320,587
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 30,12,20,7,50,19,,,,,,,,,,,,,,,,,,,,,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 5020,18806,2630,11686,7650,30497,20,217,20,204,40,422,20,131,10,135,40,266,180,498,40,52,210,550,350,639,130,356,480,996,510,1018,230,712,730,1730,530,1369,290,1186,820,2554,660,1945,360,1316,1010,3261,750,2695,400,1613,1160,4307,750,2758,410,1665,1150,4423,560,2462,300,1412,860,3874,310,2642,180,1095,500,3737,160,968,90,557,250,1529,220,1464,180,1383,400,2847
99,Net federal tax,Impôt fédéral net,2012, 1108260,15140352,891950,5793392,2000260,20934250,20810,44051,11450,13328,32270,57382,84150,449196,55930,156579,140080,605782,123140,1102342,94000,467328,217140,1569701,126160,1427774,94310,553513,220480,1981310,116020,1621103,85560,580529,201590,2201702,111130,1813874,87650,677465,198790,2491384,110750,1974395,94170,755270,204920,2729674,116220,2251688,101110,839967,217330,3091668,102180,2016607,87100,697555,189290,2714244,75140,1197419,64630,434977,139770,1632403,49180,606756,41530,228545,90720,835322,29970,273736,27030,140694,57000,414434,43410,361410,47480,247641,90890,609244
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 84740,164467,76670,102859,161430,267348,1210,664,880,338,2090,1003,5140,5620,4600,3372,9740,8992,7570,12928,6950,7852,14530,20781,8210,15991,8330,10646,16550,26643,8220,16903,8880,11906,17110,28811,8750,18195,9040,13087,17790,31286,9830,20885,9360,14592,19190,35479,10940,24020,9850,15085,20790,39110,11100,24048,9150,13671,20240,37721,9440,19085,6890,9599,16330,28684,3900,5781,2490,2559,6390,8340,430,348,260,152,690,500,,,,,,
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 45700,122586,18100,55476,63790,178075,,,,,,,1670,1990,120,128,,,3390,4159,350,390,3740,4549,3080,3836,310,323,3390,4160,2320,2825,280,324,2600,3149,2010,2439,390,409,2400,2848,2150,2681,400,448,2550,3129,2310,3093,430,513,2740,3606,2040,2837,290,345,2320,3182,,,190,279,1530,2189,12010,43347,5450,16590,17460,59937,5750,22883,3490,12218,9240,35112,7640,30581,6410,23508,14050,54090
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 1025410,6282828,770160,2565456,1795610,8848436,13060,18443,5050,4407,18100,22851,71090,203721,39530,64262,110620,267987,114010,498409,79900,213085,193920,711508,120100,635973,83340,257691,203450,893673,111680,702182,76460,267517,188150,969730,107380,764547,79040,304464,186430,1069034,107000,811613,85610,335690,192610,1147309,111790,904766,92180,368891,203970,1273662,97000,792442,78700,304298,175710,1096771,69190,473044,56480,189470,125670,662517,44170,240874,35840,100786,80020,341669,25290,106444,22310,59760,47600,166206,33660,130371,35720,95136,69390,225521
103,Total tax payable,Total à payer,2012, 1141760,21710253,925420,8517368,2067250,30228314,21550,63165,12160,18074,33710,81242,86440,660527,58600,224348,145050,884886,125940,1617838,97120,688705,223070,2306589,129590,2083576,98350,822252,227940,2905867,119780,2343018,89940,860309,209720,3203429,115100,2599057,91780,995429,206890,3594559,114830,2809576,97880,1106002,212710,3915595,120260,3183570,104710,1224460,224980,4408053,105910,2835935,90350,1015873,196260,3851924,77800,1691458,66910,634327,144710,2325795,50490,896758,42600,348481,93100,1245268,30300,403411,27260,212824,57560,616251,43780,522362,47780,366284,91570,888856
