#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 52860,525897,48850,474120,101740,1000390,,,,,,,,,,,,,910,9294,1570,17328,2470,26658,2700,30124,3700,43825,6400,73997,5700,67072,6180,72210,11890,139325,8510,99423,7710,86152,16230,185619,9560,103985,7840,80032,17410,184112,8410,80838,6850,60646,15260,141536,6070,51463,5170,40781,11240,92260,4420,34760,3730,28063,8160,62853,2860,21714,2410,17687,5270,39401,1630,11970,1390,9976,3020,21946,1940,14080,2050,14758,3990,28846
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 90820,47810,129490,71149,220310,118960,240,53,230,57,470,109,15060,6034,19380,8945,34440,14979,30000,18256,43210,27734,73220,45990,21800,11841,31560,17262,53360,29105,12350,5950,17350,8562,29700,14512,5820,2914,8120,4092,13930,7006,2780,1475,4800,2342,7580,3817,1590,732,2900,1314,4480,2046,790,358,1320,571,2110,928,300,144,490,200,780,344,70,40,120,57,190,96,,,,,,,,,,,,
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 281870,1745075,360840,2006125,642760,3751624,14330,60184,13760,54097,28090,114292,103140,643062,114420,704765,217580,1348003,70770,568219,89780,673166,160570,1241550,33030,230762,42940,239475,75980,470273,18960,94597,27920,110474,46880,205088,14150,58437,23940,85243,38090,143686,10990,40561,20240,65984,31240,106557,7710,26127,14170,41418,21890,67546,4800,14149,7900,20853,12700,35002,2300,5844,3300,7115,5590,12959,1040,2102,1490,2401,2530,4503,410,689,590,718,1000,1407,250,341,400,417,640,758
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 183260,1004768,128780,668438,312040,1673236,20,109,40,172,60,281,90,436,90,395,180,831,50,192,60,275,110,467,170,479,140,405,310,883,1280,4681,1890,7533,3170,12214,8070,36149,12270,56966,20340,93120,41880,219343,38980,201963,80850,421306,66760,385939,44040,240029,110800,625991,42280,239365,22640,119418,64910,358783,16180,85805,6580,31909,22760,117716,4650,23335,1230,5518,5880,28852,1150,5560,370,1691,1520,7250,700,3375,470,2164,1170,5539
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 273730,1384335,218080,1048640,492860,2438003,120,321,380,905,500,1239,2480,8574,3260,10185,5820,18980,8840,33117,10080,37029,19130,70804,13180,51189,16720,67925,30110,120076,14960,60165,19440,85359,34570,146530,15780,65939,18580,78200,34470,144696,13930,59267,14300,57378,28290,117018,11210,50168,11120,50351,22360,100689,10580,49251,15080,78847,25660,128120,15140,72901,29850,160008,45020,233060,33910,171676,28670,151995,62610,323877,42140,228960,21890,116004,64080,345263,91460,532808,28730,154455,120250,687651
84,Medical expenses,Montant admissible des frais médicaux,2012, 460370,1315475,671620,1918301,1133350,3237481,2430,2129,3540,2724,5980,4863,10890,11138,17260,16055,28350,27414,14870,18274,24800,29299,39850,48372,16730,29014,28740,44616,45670,74126,21540,43890,35470,65588,57160,109931,29950,66423,45810,90718,75910,157577,38020,87118,55250,109323,93420,196853,42260,97403,59800,118948,102160,216639,43730,102854,62980,132396,106800,235431,51740,127398,74860,172255,126640,299778,53130,138027,69030,159241,122190,297328,43760,119577,54050,134351,97840,253999,91310,472228,140040,842788,231390,1315170
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 4815590,12748109,5232180,13409612,10065940,26190868,206950,381231,207990,385513,417360,769848,411030,899888,408740,928045,826780,1838691,394990,967319,414320,1049313,811850,2021456,376870,974360,416610,1061937,795160,2039843,382060,1056253,422370,1117051,805650,2176070,418950,1185953,450700,1204639,870540,2392711,467940,1291629,490480,1264499,959090,2557728,477960,1261612,494560,1192267,972980,2454956,418610,1045998,438560,1000653,857510,2047350,357870,850001,381730,841063,739880,1691639,299840,905057,321200,947220,621240,1852860,217190,668045,241730,713216,459090,1381817,385330,1260763,543200,1704195,928820,2965899
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 1218650,2584651,1089810,1494410,2309590,4082254,2540,1359,1930,570,4470,1932,22030,11072,21470,8463,43580,19641,55990,40786,61920,31545,118090,72670,79740,74865,74380,47726,154320,123020,100180,126273,82700,66636,183020,193327,118640,189101,95990,92038,214760,281571,135680,239314,114780,138365,250590,378011,145640,327171,124950,160489,270690,487937,131650,308276,116460,164706,248190,473205,117650,265702,103610,166251,221300,432073,97400,251945,78520,134452,175940,386462,74190,209186,60390,111596,134590,320857,137340,539599,152710,371572,290070,911550
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 1310,18253,1360,8273,2680,26529,,,,,,,30,9,30,6,60,15,,,90,18,150,107,90,91,,,190,287,80,20,100,25,180,45,110,77,100,72,220,152,,,,,,,140,738,120,170,260,909,,,140,1184,,,140,2355,140,1148,270,3503,100,1298,110,640,210,1938,110,889,90,351,200,1240,210,5695,200,3824,420,9519
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 1212730,726905,1084510,399236,2298360,1127037,2430,358,1850,143,4280,501,21370,2883,20850,2127,42300,5039,55120,10874,61110,8127,116410,19095,79080,20216,73700,12547,152970,32882,99540,34616,82170,17752,181850,52486,118070,52377,95500,24783,213710,77282,135130,66602,114280,35287,249530,101982,145100,91903,124480,41469,269670,133449,131200,88376,116070,45548,247340,133986,117300,75060,103380,41353,220720,116447,97170,71189,78350,37333,175540,108541,74050,59072,60290,31012,134360,90105,137180,153379,152470,101755,289680,255243
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 4815590,13475014,5232190,13808848,10065940,27317905,206950,381589,207990,385656,417360,770348,411030,902771,408740,930172,826780,1843729,394990,978193,414320,1057440,811850,2040551,376870,994576,416610,1074484,795160,2072725,382060,1090869,422370,1134804,805650,2228556,418950,1238329,450700,1229422,870540,2469993,467940,1358231,490480,1299786,959090,2659710,477960,1353515,494560,1233736,972980,2588405,418610,1134374,438560,1046201,857510,2181336,357870,925061,381730,882416,739880,1808086,299840,976246,321210,984554,621240,1961401,217190,727117,241730,744228,459090,1471922,385330,1414142,543200,1805950,928820,3221142
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 724710,1756067,734370,1175780,1459280,2932391,4710,14076,4220,13807,8940,27888,15810,34202,13580,32090,29400,66302,27780,27645,24030,22282,51830,49975,35350,45053,30840,34305,66210,79416,43950,82075,37020,57023,81000,139211,54610,132693,49150,83893,103780,216638,68340,183749,65950,106179,134320,289954,82170,228251,81490,128744,163690,357076,84380,222221,86220,136619,170610,358861,82360,213226,84790,138601,167150,351856,72280,184294,73630,115158,145920,299472,53720,134648,57080,79976,110800,214632,99260,253934,126370,227103,225630,481111
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 1200,11673,150,839,1350,12528,,,,,,,30,130,,,40,150,130,922,30,104,160,1025,120,1092,30,155,150,1263,140,1182,10,88,150,1270,150,1336,10,41,160,1377,170,1834,20,158,190,1991,170,1960,10,97,190,2056,140,1544,10,121,160,1665,100,1101,,,100,1134,50,501,,,50,512,,,,,,,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 7390,26960,5700,14717,13110,41709,100,233,110,246,220,479,160,251,140,239,300,490,150,427,110,255,260,683,170,517,110,282,280,801,280,1069,200,482,470,1556,460,1676,360,894,820,2574,670,2346,510,1343,1180,3689,890,3418,730,2000,1620,5418,1010,3370,750,2008,1760,5381,1070,3600,780,1986,1860,5598,1000,4285,660,1729,1660,6019,640,2426,400,1108,1040,3534,790,3342,850,2144,1650,5488
93,Basic federal tax ,Impôt fédéral de base,2012, 3223160,30877712,2967530,17218668,6192380,48103487,24070,33761,13500,17010,37610,50853,147630,399997,96310,194368,244120,594769,260270,1326998,226320,863913,486830,2191627,288050,2130972,256460,1303297,544770,3435397,300540,2945958,264910,1620112,565670,4566819,327210,3850012,294180,2026450,621590,5877426,363820,4553869,338250,2424133,702230,6978933,372130,4838201,350440,2512114,722700,7350964,321680,3998549,308780,2088063,630560,6087108,271200,2796893,260060,1521353,531320,4318790,199590,1690546,183150,881543,382770,2572247,133620,914151,128370,587839,262000,1502059,213360,1397806,246820,1178474,460210,2576495
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 269990,339819,267170,124169,537270,464750,580,362,430,139,1010,502,3120,3042,1860,848,4980,3891,8540,8914,6180,5351,14740,14397,11600,16073,8860,8806,20460,24983,15230,29501,11040,9954,26280,39522,19690,45232,15430,13889,35140,59292,24670,55424,21600,16921,46280,72409,29900,56807,27700,16333,57620,73260,31010,52880,31370,14516,62380,67406,31540,27885,33730,11034,65280,38933,29450,20176,30750,8975,60200,29154,22350,9529,24530,5885,46890,15430,42310,13993,53690,11517,96010,25572
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 40480,6995,23990,3697,64480,10692,,,,,10,1,,,,,230,27,760,117,370,55,1130,171,1300,229,560,89,1850,318,1470,263,610,94,2080,357,1880,339,800,137,2680,477,2520,470,1200,215,3720,685,3320,621,1750,295,5070,916,3960,728,2400,396,6360,1124,4680,835,2960,468,7640,1304,5120,881,3230,493,8350,1374,4910,805,2920,440,7830,1244,10420,1689,7110,1004,17540,2694
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 11740,30994,5550,8203,17400,39200,,,,,,,,,,,,,90,101,,,130,113,250,462,90,173,360,635,540,1346,240,453,790,1799,960,2640,370,630,1360,3271,1400,3440,600,1083,2010,4523,1890,5109,800,1308,2710,6418,1850,4858,800,1258,2660,6116,1450,3646,660,1036,2120,4682,1200,3582,520,507,1720,4090,830,2009,490,497,1320,2506,1280,3779,930,1241,2210,5020
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 950,526,620,328,1570,854,,,,,,,,,,,,,20,7,20,6,30,13,40,24,20,11,70,35,90,44,60,31,140,75,110,59,70,39,180,98,190,105,100,51,290,156,190,106,130,69,320,175,150,89,110,60,260,149,100,57,50,28,150,86,50,26,30,16,80,42,10,7,,,20,13,,,20,10,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 6100,40141,3880,21624,10000,61850,90,1193,80,818,170,2034,70,373,70,418,140,790,130,959,70,639,210,1599,230,972,130,667,360,1639,360,1518,190,815,550,2333,490,1918,290,1236,790,3188,690,3767,480,2402,1170,6172,910,5180,590,2814,1500,7995,880,9723,570,2848,1450,12576,870,5541,480,2604,1350,8146,590,3716,320,2027,910,5763,310,2154,200,1298,510,3452,470,3127,430,3037,900,6164
99,Net federal tax,Impôt fédéral net,2012, 3213070,30512633,2959240,17085059,6173950,47604034,23850,33400,13270,16870,37160,50352,146920,396930,95730,193527,242830,590860,259610,1317860,225700,858578,485550,2177023,287390,2114246,255830,1294356,543480,3409625,299670,2915513,264330,1609918,564210,4526114,326110,3803940,293430,2012123,619720,5816856,362670,4497456,337450,2406328,700280,6904651,370960,4776767,349660,2494658,720760,7271952,320740,3944467,308100,2072074,628930,6017027,270410,2765225,259370,1509162,529850,4274917,199060,1666403,182610,871646,381690,2538204,133230,902005,127950,581042,261200,1483101,212450,1378420,245820,1164777,458290,2543350
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 378750,645198,287890,378937,666920,1024548,3980,1707,2990,1088,6970,2800,19710,15292,15220,9652,34960,24969,30720,37932,24220,25037,54980,63022,35060,55313,27420,34876,62540,90280,38040,67112,31660,43220,69740,110395,45130,82546,36710,52779,81880,135395,52480,98649,40630,59920,93140,158618,53000,101679,39880,59475,92900,161189,47200,90665,34340,49099,81550,139776,37760,71290,25000,33955,62760,105251,14260,21945,8960,9388,23220,31340,1430,1068,870,447,2290,1515,,,,,,
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 119940,336207,77760,231123,197690,567331,,,,,,,,,20,16,,,3040,3341,320,244,3350,3585,3730,3991,540,458,4270,4450,3830,4004,660,592,4490,4596,4380,4527,910,832,5290,5358,5330,5414,1080,1060,6410,6474,5700,5832,1110,1005,6810,6837,4460,5024,870,876,5330,5900,3030,3895,730,892,3760,4787,33490,110386,20890,57776,54380,168163,19250,69156,15780,48823,35020,117980,32890,119714,34850,118548,67750,238262
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 3335880,17331495,3082490,9391123,6420130,26726161,20200,18215,10930,9804,31170,28054,160400,219419,115210,117375,275770,337000,273060,701206,245790,462182,519070,1163714,293850,1142198,266310,686098,560440,1828882,305950,1627723,273330,869535,579520,2497625,332630,2166561,301730,1103441,634570,3270425,367450,2565464,341530,1319075,709160,3885015,372810,2725953,347920,1356720,720870,4082955,320300,2241927,302950,1120177,623350,3362365,268840,1562361,252270,808352,521170,2371029,214860,985461,195870,503020,410760,1488572,148500,537052,138290,336432,286830,873526,257040,837957,290360,698911,547440,1536998
103,Total tax payable,Total à payer,2012, 3540530,48825659,3291030,27086908,6833640,75922865,28730,53322,17420,27763,46190,81207,180670,632566,131940,320576,312820,953776,291800,2060344,263470,1346151,555570,3407458,311650,3315763,284800,2016046,596780,5333509,324340,4614375,294350,2523416,618970,7138903,354570,6057591,325070,3169225,679890,9228102,392640,7166997,366890,3786408,759740,10954797,398100,7610245,373400,3911879,771680,11522970,343140,6282099,326630,3242250,669880,9525108,286920,4402783,272990,2352378,559980,6756012,219200,2784203,200410,1441834,419650,4226289,149680,1509282,139780,966745,289500,2476122,259090,2336091,293880,1982237,553010,4318611
