#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2012, 455040,1204877,480640,1249718,937290,2457233,22340,42005,22100,42630,44680,84996,42360,93242,41830,97277,85180,192116,40690,99708,40460,101965,81350,202029,38350,101502,39220,101753,77630,203366,37030,104095,37940,101559,75030,205749,37680,105809,38460,102302,76160,208152,40310,109070,40890,103811,81220,212904,42880,109871,43270,104084,86160,213971,39070,95906,39740,92209,78810,188131,32960,78353,34450,77961,67410,156325,26820,82914,28100,86549,54920,169468,18990,60569,21010,65118,40000,125690,35570,121833,53170,172497,88740,294337
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2012, 123660,252449,109650,142200,233320,394668,620,373,460,223,1070,595,3650,3118,3090,1803,6740,4921,6690,7191,6170,4301,12860,11492,8850,10930,7380,5477,16230,16408,10270,14313,7920,7539,18180,21853,11290,19594,9020,9820,20310,29414,12760,24900,10690,12745,23450,37644,14360,31850,12660,18206,27020,50057,13700,35945,11990,16004,25700,51955,12100,28089,10600,14030,22700,42119,9460,22235,7640,11592,17100,33827,7010,16733,5950,10613,12960,27347,12910,37178,16090,29849,29010,67036
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2012, 140,2003,110,299,260,2302,,,,,,,,,,,,,,,,,10,1,10,1,,,20,3,20,8,,,20,24,10,7,10,2,20,9,20,13,,,20,14,,,10,42,30,51,10,6,,,,,,,20,102,20,103,,,10,20,20,49,,,,,,,30,1826,20,84,50,1910
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2012, 122820,71164,109000,38838,231820,110007,590,98,440,58,1020,156,3550,843,3020,474,6570,1317,6580,1963,6090,1141,12660,3104,8750,2999,7310,1452,16060,4451,10180,3943,7850,2036,18030,5980,11210,5429,8960,2666,20160,8095,12680,6954,10630,3474,23310,10429,14290,8926,12600,5025,26900,13950,13640,10122,11930,4371,25580,14494,12050,7861,10560,3862,22610,11723,9430,6237,7620,3191,17050,9427,7000,4712,5940,2938,12940,7650,12880,11078,16060,8151,28940,19232
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2012, 455040,1276041,480640,1288555,937290,2567240,22340,42103,22100,42688,44680,85152,42360,94085,41830,97751,85180,193433,40690,101671,40460,103107,81350,205133,38350,104501,39220,103205,77630,207816,37030,108038,37940,103596,75030,211728,37680,111238,38460,104968,76160,216246,40310,116024,40890,107286,81220,223333,42880,118797,43270,109109,86160,227922,39070,106027,39740,96580,78810,202625,32960,86214,34450,81823,67410,168048,26820,89151,28100,89740,54920,178895,18990,65281,21010,68056,40000,133341,35570,132911,53170,180648,88740,313569
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2012, 58420,108906,56890,79147,115310,188073,520,1433,460,1337,980,2769,1610,2913,1280,2684,2890,5606,2330,2256,1830,1859,4160,4115,2740,3015,2230,2891,4970,5907,3320,5701,2770,5374,6090,11085,3970,8412,3470,6888,7430,15300,5130,9639,4850,6759,9980,16397,6940,11978,6630,7764,13570,19742,7690,16850,7410,9638,15100,26488,7330,15863,7050,11646,14380,27509,5760,11968,5670,6611,11420,18579,4070,7499,4370,4390,8440,11889,7030,11378,8880,11307,15910,22685
91,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,2012, 70,835,,,80,855,,,,,,,,,,,,,,,,,,,,,,,,,10,109,,,10,109,,,,,,,,,,,,,20,205,,,20,205,10,142,,,10,142,,,,,,,,,,,,,,,,,,,,,,,,
92,Minimum tax carryover,Report d'impôt minimum,2012, 1110,3699,800,2099,1910,5797,10,23,,,20,43,10,22,10,10,20,32,30,67,20,39,40,106,30,133,20,65,50,198,60,232,40,142,100,374,60,235,50,94,110,329,80,284,70,178,150,462,140,485,110,314,250,799,180,631,130,354,310,985,170,537,130,343,300,880,160,418,100,243,260,661,90,374,40,114,130,488,100,258,90,183,180,441
93,Basic federal tax ,Impôt fédéral de base,2012, 308520,2225973,270600,1218929,579150,3444952,5230,7704,2760,2791,7990,10500,21240,63403,13480,23796,34710,87201,27620,133963,21560,73317,49180,207283,28810,171967,22880,92145,51690,264122,28520,214248,23210,107992,51730,322244,29000,245400,25080,129520,54080,374924,31480,290242,29080,158095,60560,448338,34280,328219,32030,177063,66310,505282,31140,294389,29400,160658,60540,455060,25680,212983,24650,120740,50320,333727,17780,123674,15930,60950,33710,184624,11050,57679,10690,39210,21740,96892,16710,82102,19860,72651,36570,154755
94,Federal Foreign Tax Credit,Crédit fédéral pour impôt étranger,2012, 15210,6663,14630,2709,29840,9376,60,10,50,7,110,17,230,77,110,28,340,106,470,532,260,103,730,635,540,443,370,98,910,541,700,517,490,183,1200,700,940,622,650,198,1590,820,1220,794,1070,199,2290,993,1680,903,1510,219,3190,1122,2100,771,2030,491,4130,1262,2080,692,2080,294,4160,987,1740,601,1790,264,3530,865,1290,187,1460,199,2750,388,2160,514,2760,427,4920,942
95,Federal Political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2012, 4330,732,2560,364,6890,1096,,,,,,,,,10,1,,,60,9,40,7,100,16,120,19,50,7,170,26,140,21,60,8,190,30,180,33,100,15,280,48,240,38,110,16,350,54,350,63,190,28,540,91,440,78,280,44,730,122,610,112,320,49,930,161,550,93,330,46,890,140,530,84,300,42,830,126,1110,178,760,101,1870,279
96,Investment Tax Credit,Crédit d'impôt à l'investissement,2012, 870,2133,340,589,1200,2722,,,,,,,,,,,,,,,,,,,30,54,,,30,57,40,61,20,21,60,82,60,152,20,28,90,179,100,303,40,70,140,372,130,200,40,110,170,311,160,290,60,96,220,386,120,320,50,106,170,426,80,280,20,23,110,303,50,191,30,42,80,232,70,261,50,86,120,347
97,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,2012, 120,72,50,31,170,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,10,5,,,10,6,10,9,10,6,20,15,30,19,10,8,40,27,20,14,10,7,30,21,20,9,,,20,12,,,,,,,,,,,,,,,,,,
98,Alternative minimum tax payable,Impôt minimum de remplacement à payer,2012, 840,5770,550,3731,1390,9501,10,148,,,20,218,10,71,,,20,102,30,288,,,30,311,20,86,20,141,40,227,40,247,20,115,60,363,50,317,50,309,100,625,90,582,60,425,150,1006,120,765,90,516,200,1281,130,799,80,641,210,1440,140,849,90,512,230,1361,80,598,50,356,130,954,50,417,30,225,80,642,70,602,40,367,110,969
99,Net federal tax,Impôt fédéral net,2012, 308110,2216452,270190,1215306,578320,3431805,5220,7693,2750,2784,7970,10483,21210,63326,13440,23768,34650,87095,27590,133402,21520,73204,49110,206609,28790,171448,22850,92037,51640,263495,28500,213650,23190,107780,51690,321434,28970,244596,25060,129279,54030,373879,31450,289164,29050,157833,60500,446998,34240,327043,32010,176709,66250,503751,31100,293240,29370,160041,60480,453294,25640,211825,24610,120289,50250,332118,17740,122695,15900,60618,33630,183313,11020,57219,10670,38930,21690,96149,16650,81151,19790,72035,36440,153187
100,CPP contributions on self-employment,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 33480,62684,22710,29425,56200,92136,430,217,270,92,700,310,1860,1980,1170,787,3030,2768,2730,4231,1850,2036,4580,6270,3040,5551,2190,2700,5220,8252,3310,6512,2560,3460,5870,9976,3530,7169,2740,3852,6270,11025,3860,8022,2940,4242,6800,12265,4580,9635,3170,4572,7740,14207,4610,9609,2870,4069,7480,13687,3930,7623,2230,2944,6160,10570,1460,2020,670,623,2130,2644,140,115,70,48,220,163,,,,,,
101,Social Benefits repayment,Remboursement des prestation de programmes sociaux,2012, 8250,23341,4290,12891,12550,36232,,,,,,,,,,,,,390,479,,,400,490,330,395,30,27,360,423,260,329,30,27,290,356,230,271,30,24,260,296,250,293,30,40,280,333,300,390,40,50,340,440,270,393,50,55,330,447,240,327,50,88,290,414,2540,8216,1320,3625,3860,11841,1280,4717,870,2743,2150,7460,1980,7322,1820,6199,3800,13521
102,Net Provincial Tax,Impôt provincial ou territorial net,2012, 332550,1692561,301690,993870,634260,2686483,6870,8126,4400,3734,11260,11865,23820,54065,16460,22385,40280,76456,29010,100195,23230,53743,52250,153941,30010,131432,24630,73820,54650,205261,29750,162838,24980,87907,54730,250755,30110,184764,26750,104090,56860,288857,32620,215563,30680,125253,63290,340817,35530,241619,33580,139517,69100,381137,32330,216537,30950,127224,63280,343770,26970,158974,26370,97519,53340,256496,20090,98684,19020,56187,39110,154871,13460,49346,13330,35982,26790,85329,21990,70417,27330,66510,49320,136929
103,Total tax payable,Total à payer,2012, 339460,3995050,308190,2251543,647670,6246718,7070,16040,4570,6611,11640,22661,24440,119577,17160,46944,41590,166529,29810,238307,24140,129005,53950,367322,30750,308829,25380,168604,56130,477453,30500,383332,25790,199185,56300,582534,30930,436802,27540,237248,58470,674061,33440,513044,31360,287368,64800,800415,36310,578688,34210,320848,70510,899536,33010,519780,31490,291390,64500,811202,27440,378747,26720,220841,54160,599599,20280,231616,19130,121053,39410,352669,13480,111396,13350,77703,26820,189101,22020,158890,27370,144744,49390,303637
